NVIT	Nasonia vitripennis
AMEL	Apis mellifera
OBIR	Ooceraea biroi
TRNI	Trichoplusia ni
DPLE	Danaus plexippus
AGAM	Anopheles gambiae
BTER	Bombus terrestris
TCAS	Tribolium castaneum
SLEB	Scaptodrosophila lebanonensis
AGLY	Aphis glycines
MSAC	Melanaphis sacchari
BTAB	Bemisia tabaci
PXUT	Papilio xuthus
CNAS	Contarinia nasturtii
CSOL	Ceratosolen solmsi
HKAH	Hyposmocoma kahamanoa
PPOL	Papilio polytes
GMEL	Galleria mellonella
MPHA	Monomorium pharaonis
BMOR	Bombyx mori
ACEP	Atta cephalotes
AALB	Aedes albopictus
DANA	Drosophila ananassae
DARI	Drosophila arizonae
DBIA	Drosophila biarmipes
DBIP	Drosophila bipectinata
DBUS	Drosophila busckii
DELE	Drosophila elegans
DERE	Drosophila erecta
DEUG	Drosophila eugracilis
DGRI	Drosophila grimshawi
DGUA	Drosophila guanche
DHYD	Drosophila hydei
DKIK	Drosophila kikkawai
DMIR	Drosophila miranda
DMEL	Drosophila melanogaster
DMOJ	Drosophila mojavensis
DNAV	Drosophila navojoa
DNOV	Drosophila novamexicana
DOBS	Drosophila obscura
DPER	Drosophila persimilis
DPSE	Drosophila pseudoobscura
DRHO	Drosophila rhopaloa
DSEC	Drosophila sechellia
DSER	Drosophila serrata
DSIM	Drosophila simulans
DSUZ	Drosophila suzukii
DTAK	Drosophila takahashii
DVIR	Drosophila virilis
DWIL	Drosophila willistoni
DYAK	Drosophila yakuba
