,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0003735,structural constituent of ribosome,7.790088799826843e-28,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",175,10520,61,13824,0.005798479087452471,0.3485714285714286,other,['GO:0005198']
1,GO:CC,GO:0044391,ribosomal subunit,2.744425597365919e-24,True,"""Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."" [GOC:jl]",180,10520,69,13824,0.00655893536121673,0.38333333333333336,other,"['GO:0005840', 'GO:1990904']"
2,GO:CC,GO:0005840,ribosome,1.9344861551693986e-22,True,"""An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."" [ISBN:0198506732]",200,10520,84,13824,0.007984790874524715,0.42,other,['GO:0043232']
3,GO:CC,GO:0015934,large ribosomal subunit,7.2840882817568195e-22,True,"""The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."" [ISBN:0198506732]",108,10520,32,13824,0.003041825095057034,0.2962962962962963,other,['GO:0044391']
4,KEGG,KEGG:03010,Ribosome,1.1860974734143136e-20,True,Ribosome,133,10520,48,13824,0.0045627376425855515,0.3609022556390977,other,['KEGG:00000']
5,GO:CC,GO:0000313,organellar ribosome,1.5556822370069224e-19,True,"""A ribosome contained within a subcellular membrane-bounded organelle."" [GOC:mah, GOC:mcc]",80,10520,20,13824,0.0019011406844106464,0.25,other,"['GO:0005840', 'GO:0043226']"
6,GO:CC,GO:0005761,mitochondrial ribosome,1.5556822370069224e-19,True,"""A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."" [GOC:mah, ISBN:0198506732]",80,10520,20,13824,0.0019011406844106464,0.25,other,"['GO:0000313', 'GO:0005759']"
7,GO:CC,GO:0000315,organellar large ribosomal subunit,4.568180950484068e-15,True,"""The larger of the two subunits of an organellar ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."" [GOC:mcc]",51,10520,10,13824,0.0009505703422053232,0.19607843137254902,other,"['GO:0000313', 'GO:0015934']"
8,GO:CC,GO:0005762,mitochondrial large ribosomal subunit,4.568180950484068e-15,True,"""The larger of the two subunits of a mitochondrial ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."" [GOC:mcc]",51,10520,10,13824,0.0009505703422053232,0.19607843137254902,other,"['GO:0000315', 'GO:0005761', 'GO:0098798']"
9,GO:BP,GO:0140053,mitochondrial gene expression,7.2428986473121e-15,True,"""The process in which a mitochondrial gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [PMID:27058308]",132,10520,53,13824,0.005038022813688213,0.4015151515151515,other,['GO:0010467']
