,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0003735,structural constituent of ribosome,2.356022961957428e-26,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",175,4316,127,13824,0.02942539388322521,0.7257142857142858,fastevol,['GO:0005198']
1,GO:CC,GO:0044391,ribosomal subunit,2.2934521684848143e-25,True,"""Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."" [GOC:jl]",180,4316,128,13824,0.029657089898053754,0.7111111111111111,fastevol,"['GO:0005840', 'GO:1990904']"
2,GO:CC,GO:0005840,ribosome,6.677545155732004e-23,True,"""An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."" [ISBN:0198506732]",200,4316,134,13824,0.03104726598702502,0.67,fastevol,['GO:0043232']
3,GO:CC,GO:0000313,organellar ribosome,4.415881586898416e-22,True,"""A ribosome contained within a subcellular membrane-bounded organelle."" [GOC:mah, GOC:mcc]",80,4316,69,13824,0.0159870250231696,0.8625,fastevol,"['GO:0005840', 'GO:0043226']"
4,GO:CC,GO:0005761,mitochondrial ribosome,4.415881586898416e-22,True,"""A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."" [GOC:mah, ISBN:0198506732]",80,4316,69,13824,0.0159870250231696,0.8625,fastevol,"['GO:0000313', 'GO:0005759']"
5,GO:CC,GO:0015934,large ribosomal subunit,4.205290951163428e-21,True,"""The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."" [ISBN:0198506732]",108,4316,84,13824,0.019462465245597776,0.7777777777777778,fastevol,['GO:0044391']
6,GO:BP,GO:0140053,mitochondrial gene expression,5.246207923217616e-19,True,"""The process in which a mitochondrial gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [PMID:27058308]",132,4316,96,13824,0.022242817423540315,0.7272727272727273,fastevol,['GO:0010467']
7,GO:BP,GO:0032543,mitochondrial translation,6.219269813312547e-19,True,"""The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code."" [GOC:go_curators]",112,4316,85,13824,0.01969416126042632,0.7589285714285714,fastevol,"['GO:0006412', 'GO:0140053']"
8,KEGG,KEGG:03010,Ribosome,4.6097771027212096e-18,True,Ribosome,133,4316,93,13824,0.02154772937905468,0.6992481203007519,fastevol,['KEGG:00000']
9,GO:CC,GO:0000315,organellar large ribosomal subunit,4.545334547514145e-15,True,"""The larger of the two subunits of an organellar ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."" [GOC:mcc]",51,4316,45,13824,0.010426320667284522,0.8823529411764706,fastevol,"['GO:0000313', 'GO:0015934']"
