,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0051539,"4 iron, 4 sulfur cluster binding",0.001997911842909858,True,"""Interacting selectively and non-covalently with a 4 iron, 4 sulfur (4Fe-4S) cluster; this cluster consists of four iron atoms, with the inorganic sulfur atoms found between the irons and acting as bridging ligands."" [GOC:ai, PMID:15952888, Wikipedia:Iron-sulfur_cluster]",38,92,5,11762,0.05434782608695652,0.13157894736842105,dup,['GO:0051536']
1,GO:CC,GO:0045271,respiratory chain complex I,0.004680817841634611,True,"""Respiratory chain complex I is an enzyme of the respiratory chain. It consists of several polypeptide chains and is L-shaped, with a horizontal arm lying in the membrane and a vertical arm that projects into the matrix. The electrons of NADH enter the chain at this complex."" [GOC:imk, GOC:jid, ISBN:0716749556]",54,110,5,11919,0.045454545454545456,0.09259259259259259,dup,"['GO:0030964', 'GO:0098803']"
2,GO:CC,GO:0034719,SMN-Sm protein complex,0.004680817841634611,True,"""A protein complex formed by the association of several methylated Sm proteins with the SMN complex; the latter contains the survival motor neuron (SMN) protein and at least eight additional integral components, including the Gemin2-8 and unrip proteins; additional proteins, including galectin-1 and galectin-3, are also found in the SMN-SM complex. The SMN-Sm complex is involved in spliceosomal snRNP assembly in the cytoplasm."" [GOC:vw, PMID:11522829, PMID:17401408]",11,110,3,11919,0.02727272727272727,0.2727272727272727,dup,"['GO:0005737', 'GO:0120114']"
3,GO:CC,GO:0032797,SMN complex,0.004680817841634611,True,"""A protein complex that contains the survival motor neuron (SMN) protein and at least eight additional integral components, including the Gemin2-8 and Unrip proteins; the complex is found in the cytoplasm and in nuclear Gems, and is involved in spliceosomal snRNP assembly in the cytoplasm and in pre-mRNA splicing in the nucleus."" [PMID:16434402, PMID:17023415]",8,110,3,11919,0.02727272727272727,0.375,dup,"['GO:0034719', 'GO:0120114']"
4,GO:CC,GO:0030964,NADH dehydrogenase complex,0.004680817841634611,True,"""An integral membrane complex that possesses NADH oxidoreductase activity. The complex is one of the components of the electron transport chain. It catalyzes the transfer of a pair of electrons from NADH to a quinone."" [GOC:mah]",54,110,5,11919,0.045454545454545456,0.09259259259259259,dup,"['GO:0098796', 'GO:1990204']"
5,GO:CC,GO:0005747,mitochondrial respiratory chain complex I,0.004680817841634611,True,"""A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. It contains about 25 different polypeptide subunits, including NADH dehydrogenase (ubiquinone), flavin mononucleotide and several different iron-sulfur clusters containing non-heme iron. The iron undergoes oxidation-reduction between Fe(II) and Fe(III), and catalyzes proton translocation linked to the oxidation of NADH by ubiquinone."" [GOC:mtg_sensu, ISBN:0198547684]",54,110,5,11919,0.045454545454545456,0.09259259259259259,dup,"['GO:0005746', 'GO:0045271', 'GO:0098800']"
6,GO:CC,GO:0005765,lysosomal membrane,0.004680817841634611,True,"""The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm."" [GOC:ai]",51,110,5,11919,0.045454545454545456,0.09803921568627451,dup,"['GO:0005764', 'GO:0098852']"
7,GO:CC,GO:0098852,lytic vacuole membrane,0.004680817841634611,True,"""The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell."" [GOC:dos]",52,110,5,11919,0.045454545454545456,0.09615384615384616,dup,"['GO:0000323', 'GO:0005774']"
8,GO:MF,GO:0004363,glutathione synthase activity,0.00562842318285539,True,"""Catalysis of the reaction: L-gamma-glutamyl-L-cysteine + ATP + glycine = ADP + glutathione + 2 H(+) + phosphate."" [EC:6.3.2.3, RHEA:13557]",2,92,2,11762,0.021739130434782608,1.0,dup,['GO:0016881']
9,GO:MF,GO:0051536,iron-sulfur cluster binding,0.006961071537663889,True,"""Interacting selectively and non-covalently with an iron-sulfur cluster, a combination of iron and sulfur atoms."" [GOC:ai]",65,92,5,11762,0.05434782608695652,0.07692307692307693,dup,['GO:0051540']
10,GO:MF,GO:0051540,metal cluster binding,0.006961071537663889,True,"""Interacting selectively and non-covalently with a cluster of atoms including both metal ions and nonmetal atoms, usually sulfur and oxygen. Examples include iron-sulfur clusters and nickel-iron-sulfur clusters."" [GOC:jsg]",65,92,5,11762,0.05434782608695652,0.07692307692307693,dup,['GO:0005488']
11,GO:CC,GO:0005774,vacuolar membrane,0.008653232217353304,True,"""The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."" [GOC:ai]",98,110,6,11919,0.05454545454545454,0.061224489795918366,dup,"['GO:0005773', 'GO:0098588']"
12,GO:CC,GO:1990204,oxidoreductase complex,0.010066575743472224,True,"""Any protein complex that possesses oxidoreductase activity."" [GOC:bhm, PMID:18982432]",103,110,6,11919,0.05454545454545454,0.05825242718446602,dup,['GO:1902494']
13,GO:MF,GO:1900750,oligopeptide binding,0.01114230660444504,True,"""Interacting selectively and non-covalently with an oligopeptide."" [GOC:TermGenie, PMID:21854595]",4,92,2,11762,0.021739130434782608,0.5,dup,['GO:0042277']
14,GO:MF,GO:0043295,glutathione binding,0.01114230660444504,True,"""Interacting selectively and non-covalently with glutathione; a tripeptide composed of the three amino acids cysteine, glutamic acid and glycine."" [GOC:bf, ISBN:0198506732]",4,92,2,11762,0.021739130434782608,0.5,dup,"['GO:0043168', 'GO:0072341', 'GO:1900750', 'GO:1901681']"
15,GO:CC,GO:0005746,mitochondrial respirasome,0.03343934490443702,True,"""The protein complexes that form the mitochondrial electron transport system (the respiratory chain), associated with the inner mitochondrial membrane. The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."" [GOC:curators, GOC:ecd, ISBN:0198547684]",91,110,5,11919,0.045454545454545456,0.054945054945054944,dup,"['GO:0005743', 'GO:0070469']"
16,GO:CC,GO:0098803,respiratory chain complex,0.03343934490443702,True,"""Any protein complex that is part of a respiratory chain."" [GOC:dos]",91,110,5,11919,0.045454545454545456,0.054945054945054944,dup,"['GO:0070469', 'GO:0098796']"
17,GO:CC,GO:0070469,respirasome,0.03709607171521818,True,"""The protein complexes that form the electron transport system (the respiratory chain), associated with a cell membrane, usually the plasma membrane (in prokaryotes) or the inner mitochondrial membrane (on eukaryotes). The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."" [GOC:ecd, GOC:mah, ISBN:0198547684, Wikipedia:Respirasome]",95,110,5,11919,0.045454545454545456,0.05263157894736842,dup,"['GO:0016020', 'GO:0110165']"
18,GO:CC,GO:0000323,lytic vacuole,0.03720187062365246,True,"""A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."" [GOC:krc]",144,110,6,11919,0.05454545454545454,0.041666666666666664,dup,['GO:0005773']
