,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,KEGG,KEGG:04070,Phosphatidylinositol signaling system,0.037735849056603765,True,Phosphatidylinositol signaling system,61,1,1,3233,1.0,0.01639344262295082,fsing_ns,['KEGG:00000']
1,KEGG,KEGG:00562,Inositol phosphate metabolism,0.037735849056603765,True,Inositol phosphate metabolism,46,1,1,3233,1.0,0.021739130434782608,fsing_ns,['KEGG:00000']
2,GO:MF,GO:1990472,piRNA dual-strand cluster binding,0.22461553134827172,False,"""Interacting selectively and non-covalently with dual-strand piRNA clusters, double-stranded DNA regions that give rise to PIWI-interacting RNAs (piRNAs) where piRNAs originate from both DNA strands via noncanonical transcription."" [GOC:bhm, PMID:24906153]",3,59,1,11762,0.01694915254237288,0.3333333333333333,fsing_ns,['GO:1990470']
3,GO:MF,GO:1990470,piRNA cluster binding,0.22461553134827172,False,"""Interacting selectively and non-covalently with piRNA clusters, double-stranded DNA regions that give rise to PIWI-interacting RNAs (piRNAs)."" [GOC:bhm, PMID:24906153]",3,59,1,11762,0.01694915254237288,0.3333333333333333,fsing_ns,['GO:1990837']
4,GO:MF,GO:0035299,inositol pentakisphosphate 2-kinase activity,0.22461553134827172,False,"""Catalysis of the reaction: 1D-myo-inositol 1,3,4,5,6-pentakisphosphate + ATP = 1D-myo-inositol hexakisphosphate + ADP + 2 H(+)."" [EC:2.7.1.158, RHEA:20313]",1,59,1,11762,0.01694915254237288,1.0,fsing_ns,"['GO:0016301', 'GO:0016773']"
5,GO:BP,GO:0052746,inositol phosphorylation,0.36672882409448143,False,"""The process of introducing one or more phosphate groups into inositol. Inositol is the cyclic alcohol 1,2,3,4,5,6-cyclohexanehexol, which is widely distributed in nature and acts as a growth factor in animals and microorganisms."" [ISBN:0198506732]",1,59,1,11798,0.01694915254237288,1.0,fsing_ns,"['GO:0006020', 'GO:0046835']"
6,GO:BP,GO:2000615,regulation of histone H3-K9 acetylation,0.36672882409448143,False,"""Any process that modulates the frequency, rate or extent of histone H3-K9 acetylation."" [GOC:BHF]",1,59,1,11798,0.01694915254237288,1.0,fsing_ns,"['GO:0035065', 'GO:0043970']"
7,GO:BP,GO:1904978,regulation of endosome organization,0.36672882409448143,False,"""Any process that modulates the frequency, rate or extent of endosome organization."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:22511594]",1,59,1,11798,0.01694915254237288,1.0,fsing_ns,"['GO:0007032', 'GO:0033043']"
8,GO:BP,GO:0060605,tube lumen cavitation,0.36672882409448143,False,"""The formation of a lumen by hollowing out a solid rod or cord."" [GOC:dph]",1,59,1,11798,0.01694915254237288,1.0,fsing_ns,['GO:0035148']
9,GO:BP,GO:0060662,salivary gland cavitation,0.36672882409448143,False,"""The process in which the solid core of salivary epithelium gives rise to the hollow tube of the gland."" [GOC:dph]",1,59,1,11798,0.01694915254237288,1.0,fsing_ns,"['GO:0007435', 'GO:0060605']"
10,GO:BP,GO:1904980,positive regulation of endosome organization,0.36672882409448143,False,"""Any process that activates or increases the frequency, rate or extent of endosome organization."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:22511594]",1,59,1,11798,0.01694915254237288,1.0,fsing_ns,"['GO:0007032', 'GO:0010638', 'GO:1904978']"
11,GO:MF,GO:0034237,protein kinase A regulatory subunit binding,0.3892248739618857,False,"""Interacting selectively and non-covalently with one or both of the regulatory subunits of protein kinase A."" [GOC:mah]",7,59,1,11762,0.01694915254237288,0.14285714285714285,fsing_ns,['GO:0051018']
12,GO:MF,GO:0051018,protein kinase A binding,0.4394045387396117,False,"""Interacting selectively and non-covalently with any subunit of protein kinase A."" [GOC:ai]",12,59,1,11762,0.01694915254237288,0.08333333333333333,fsing_ns,['GO:0005515']
13,GO:MF,GO:0019894,kinesin binding,0.4394045387396117,False,"""Interacting selectively and non-covalently and stoichiometrically with kinesin, a member of a superfamily of microtubule-based motor proteins that perform force-generating tasks such as organelle transport and chromosome segregation."" [GOC:curators, PMID:8606779]",10,59,1,11762,0.01694915254237288,0.1,fsing_ns,['GO:0008092']
14,KEGG,KEGG:01100,Metabolic pathways,0.4680894937622435,False,Metabolic pathways,1135,1,1,3233,1.0,0.000881057268722467,fsing_ns,['KEGG:00000']
15,GO:MF,GO:0005112,Notch binding,0.6155802252673519,False,"""Interacting selectively and non-covalently with the Notch (N) protein, a surface receptor."" [GOC:ceb]",20,59,1,11762,0.01694915254237288,0.05,fsing_ns,['GO:0005102']
