,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:BP,GO:0009987,cellular process,2.5818869452671744e-18,True,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",8703,59,9,11798,0.15254237288135594,0.001034126163391934,fsing,['GO:0008150']
1,GO:BP,GO:0008152,metabolic process,1.0751440997422709e-11,True,"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]",6480,59,5,11798,0.0847457627118644,0.0007716049382716049,fsing,['GO:0008150']
2,GO:MF,GO:0005488,binding,1.964151343576692e-11,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",6733,59,7,11762,0.11864406779661017,0.0010396554284865587,fsing,['GO:0003674']
3,GO:BP,GO:0006807,nitrogen compound metabolic process,6.911289653650657e-11,True,"""The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."" [GOC:jl, ISBN:0198506732]",5287,59,2,11798,0.03389830508474576,0.0003782863627766219,fsing,['GO:0008152']
4,GO:BP,GO:0071704,organic substance metabolic process,6.911289653650657e-11,True,"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]",5921,59,4,11798,0.06779661016949153,0.0006755615605472049,fsing,['GO:0008152']
5,GO:BP,GO:0044238,primary metabolic process,1.212301746053314e-10,True,"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]",5526,59,3,11798,0.05084745762711865,0.0005428881650380022,fsing,['GO:0008152']
6,GO:CC,GO:0110165,cellular anatomical entity,1.2752335724070683e-10,True,"""A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."" [GOC:kmv]",10365,65,33,11919,0.5076923076923077,0.0031837916063675834,fsing,['GO:0005575']
7,GO:CC,GO:0005622,intracellular anatomical structure,1.6848983602525583e-10,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",7004,65,11,11919,0.16923076923076924,0.0015705311250713877,fsing,['GO:0110165']
8,GO:BP,GO:0044237,cellular metabolic process,1.624272217220509e-09,True,"""The chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:go_curators]",5497,59,4,11798,0.06779661016949153,0.0007276696379843551,fsing,"['GO:0008152', 'GO:0009987']"
9,GO:MF,GO:0003824,catalytic activity,1.560128511709237e-08,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",4379,59,2,11762,0.03389830508474576,0.00045672527974423386,fsing,['GO:0003674']
10,GO:BP,GO:0043170,macromolecule metabolic process,2.0113300691669462e-08,True,"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",4841,59,3,11798,0.05084745762711865,0.0006197066721751704,fsing,['GO:0071704']
11,GO:CC,GO:0005737,cytoplasm,4.4974423504926314e-08,True,"""All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",4887,65,5,11919,0.07692307692307693,0.0010231225700838961,fsing,"['GO:0005622', 'GO:0110165']"
12,GO:CC,GO:0043229,intracellular organelle,8.630067157925657e-08,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",5757,65,9,11919,0.13846153846153847,0.001563314226159458,fsing,['GO:0005622']
13,GO:CC,GO:0043226,organelle,2.0319947097201158e-07,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",6036,65,11,11919,0.16923076923076924,0.0018223989396951624,fsing,['GO:0110165']
14,GO:CC,GO:0043231,intracellular membrane-bounded organelle,2.0319947097201158e-07,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",5110,65,7,11919,0.1076923076923077,0.0013698630136986301,fsing,"['GO:0043227', 'GO:0043229']"
15,GO:BP,GO:0044260,cellular macromolecule metabolic process,2.552129926360367e-07,True,"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, as carried out by individual cells."" [GOC:mah]",3737,59,1,11798,0.01694915254237288,0.0002675943270002676,fsing,"['GO:0043170', 'GO:0044237']"
16,GO:CC,GO:0043227,membrane-bounded organelle,8.323475334480727e-07,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",5370,65,9,11919,0.13846153846153847,0.0016759776536312849,fsing,['GO:0043226']
17,GO:BP,GO:1901564,organonitrogen compound metabolic process,1.2152840151215509e-06,True,"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]",3492,59,1,11798,0.01694915254237288,0.000286368843069874,fsing,"['GO:0006807', 'GO:0071704']"
18,GO:BP,GO:0034641,cellular nitrogen compound metabolic process,1.0124403932635607e-05,True,"""The chemical reactions and pathways involving various organic and inorganic nitrogenous compounds, as carried out by individual cells."" [GOC:mah]",3154,59,1,11798,0.01694915254237288,0.0003170577045022194,fsing,"['GO:0006807', 'GO:0044237']"
19,GO:CC,GO:0032991,protein-containing complex,1.9425267207819596e-05,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",2963,65,2,11919,0.03076923076923077,0.0006749915626054674,fsing,['GO:0005575']
20,GO:BP,GO:0065007,biological regulation,2.8317529054611023e-05,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",4883,59,7,11798,0.11864406779661017,0.0014335449518738481,fsing,['GO:0008150']
21,GO:MF,GO:0043167,ion binding,3.307738354580686e-05,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",2768,59,1,11762,0.01694915254237288,0.000361271676300578,fsing,['GO:0005488']
22,GO:MF,GO:0097159,organic cyclic compound binding,3.307738354580686e-05,True,"""Interacting selectively and non-covalently with an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure."" [GOC:sjw, PMID:7583672]",3105,59,2,11762,0.03389830508474576,0.0006441223832528181,fsing,['GO:0005488']
23,GO:MF,GO:1901363,heterocyclic compound binding,3.307738354580686e-05,True,"""Interacting selectively and non-covalently with heterocyclic compound."" [GOC:TermGenie]",3085,59,2,11762,0.03389830508474576,0.0006482982171799027,fsing,['GO:0005488']
24,GO:BP,GO:1901360,organic cyclic compound metabolic process,7.201419508678741e-05,True,"""The chemical reactions and pathways involving organic cyclic compound."" [GOC:TermGenie]",2813,59,1,11798,0.01694915254237288,0.00035549235691432633,fsing,['GO:0071704']
25,GO:BP,GO:0019538,protein metabolic process,7.60803584038087e-05,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",2791,59,1,11798,0.01694915254237288,0.00035829451809387314,fsing,"['GO:0043170', 'GO:0044238', 'GO:1901564']"
