,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:BP,GO:0140053,mitochondrial gene expression,3.4528802247043307e-13,True,"""The process in which a mitochondrial gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [PMID:27058308]",133,1437,54,11798,0.037578288100208766,0.40601503759398494,sing,['GO:0010467']
1,GO:BP,GO:0032543,mitochondrial translation,6.986687515429581e-13,True,"""The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code."" [GOC:go_curators]",112,1437,48,11798,0.033402922755741124,0.42857142857142855,sing,"['GO:0006412', 'GO:0140053']"
2,GO:CC,GO:0000313,organellar ribosome,4.18760876596947e-10,True,"""A ribosome contained within a subcellular membrane-bounded organelle."" [GOC:mah, GOC:mcc]",80,1519,36,11919,0.02369980250164582,0.45,sing,"['GO:0005840', 'GO:0043226']"
3,GO:CC,GO:0005761,mitochondrial ribosome,4.18760876596947e-10,True,"""A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."" [GOC:mah, ISBN:0198506732]",80,1519,36,11919,0.02369980250164582,0.45,sing,"['GO:0000313', 'GO:0005759']"
4,GO:MF,GO:0003735,structural constituent of ribosome,4.176092927213302e-09,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",175,1310,53,11762,0.04045801526717557,0.3028571428571429,sing,['GO:0005198']
5,GO:BP,GO:0034470,ncRNA processing,5.604766120754898e-08,True,"""Any process that results in the conversion of one or more primary non-coding RNA (ncRNA) transcripts into one or more mature ncRNA molecules."" [GOC:mah]",285,1437,75,11798,0.05219206680584551,0.2631578947368421,sing,"['GO:0006396', 'GO:0034660']"
6,GO:CC,GO:0044391,ribosomal subunit,1.7062480762324528e-07,True,"""Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."" [GOC:jl]",180,1519,54,11919,0.03554970375246873,0.3,sing,"['GO:0005840', 'GO:1990904']"
7,GO:BP,GO:0034660,ncRNA metabolic process,2.955977611478682e-07,True,"""The chemical reactions and pathways involving non-coding RNA transcripts (ncRNAs)."" [GOC:mah]",353,1437,85,11798,0.05915100904662491,0.24079320113314448,sing,['GO:0016070']
8,GO:CC,GO:0005759,mitochondrial matrix,6.50605675931012e-07,True,"""The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."" [GOC:as, ISBN:0198506732]",188,1519,54,11919,0.03554970375246873,0.2872340425531915,sing,"['GO:0005739', 'GO:0043233', 'GO:0070013']"
9,GO:CC,GO:0031974,membrane-enclosed lumen,6.50605675931012e-07,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",1181,1519,216,11919,0.1421988150098749,0.18289585097375105,sing,['GO:0110165']
10,GO:CC,GO:0070013,intracellular organelle lumen,6.50605675931012e-07,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",1180,1519,216,11919,0.1421988150098749,0.18305084745762712,sing,"['GO:0031974', 'GO:0043229']"
