,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0140096,"catalytic activity, acting on a protein",3.594640738070397e-28,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",1536,1310,53,11762,0.04045801526717557,0.034505208333333336,sing,['GO:0003824']
1,GO:CC,GO:0005886,plasma membrane,5.680463086514524e-28,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",1658,1519,80,11919,0.052666227781435156,0.04825090470446321,sing,"['GO:0016020', 'GO:0071944']"
2,GO:MF,GO:0043167,ion binding,1.9951637040127584e-27,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",2768,1310,154,11762,0.11755725190839694,0.05563583815028902,sing,['GO:0005488']
3,GO:CC,GO:0071944,cell periphery,4.937612704414799e-27,True,"""The part of a cell encompassing the cell cortex, the plasma membrane, and any external encapsulating structures."" [GOC:mah]",1798,1519,95,11919,0.06254114549045425,0.052836484983314794,sing,['GO:0110165']
4,GO:BP,GO:0055085,transmembrane transport,3.177222461504838e-23,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",865,1437,21,11798,0.014613778705636743,0.024277456647398842,sing,"['GO:0006810', 'GO:0009987']"
5,GO:MF,GO:0022857,transmembrane transporter activity,3.7688319673382305e-20,True,"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]",787,1310,17,11762,0.012977099236641221,0.021601016518424398,sing,['GO:0005215']
6,GO:MF,GO:0005215,transporter activity,1.378156535414924e-19,True,"""Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells."" [GOC:ai, GOC:dgf]",822,1310,20,11762,0.015267175572519083,0.024330900243309004,sing,['GO:0003674']
7,GO:MF,GO:0097367,carbohydrate derivative binding,5.380182683108569e-19,True,"""Interacting selectively and non-covalently with a carbohydrate derivative."" [GOC:pr]",1206,1310,47,11762,0.03587786259541985,0.03897180762852405,sing,['GO:0005488']
8,GO:CC,GO:0031226,intrinsic component of plasma membrane,1.9900314914499255e-18,True,"""The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane."" [GOC:dos, GOC:mah]",540,1519,10,11919,0.0065832784726793945,0.018518518518518517,sing,"['GO:0005886', 'GO:0031224']"
9,GO:CC,GO:0005887,integral component of plasma membrane,8.413155118674444e-18,True,"""The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."" [GOC:dos, GOC:go_curators]",526,1519,10,11919,0.0065832784726793945,0.019011406844106463,sing,"['GO:0016021', 'GO:0031226']"
10,GO:CC,GO:0005576,extracellular region,2.0083639632520084e-16,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",1349,1519,79,11919,0.05200789993416721,0.05856189770200148,sing,['GO:0110165']
11,GO:MF,GO:0016787,hydrolase activity,3.260606364791954e-15,True,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [ISBN:0198506732]",2056,1310,126,11762,0.09618320610687023,0.061284046692607,sing,['GO:0003824']
12,GO:MF,GO:0008233,peptidase activity,6.9261873656827366e-15,True,"""Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."" [GOC:jl, ISBN:0815332181]",609,1310,14,11762,0.010687022900763359,0.022988505747126436,sing,"['GO:0016787', 'GO:0140096']"
13,GO:MF,GO:0043169,cation binding,1.4879858397990553e-14,True,"""Interacting selectively and non-covalently with cations, charged atoms or groups of atoms with a net positive charge."" [GOC:jl]",1813,1310,107,11762,0.0816793893129771,0.059018201875344733,sing,['GO:0043167']
14,GO:MF,GO:0046872,metal ion binding,1.7986197654240398e-14,True,"""Interacting selectively and non-covalently with any metal ion."" [GOC:ai]",1797,1310,106,11762,0.08091603053435115,0.05898720089037284,sing,['GO:0043169']
15,GO:BP,GO:0034220,ion transmembrane transport,3.7248382935890416e-14,True,"""A process in which an ion is transported across a membrane."" [GOC:mah]",625,1437,18,11798,0.012526096033402923,0.0288,sing,"['GO:0006811', 'GO:0055085']"
16,GO:MF,GO:0015075,ion transmembrane transporter activity,3.813872123084375e-14,True,"""Enables the transfer of an ion from one side of a membrane to the other."" [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]",605,1310,15,11762,0.011450381679389313,0.024793388429752067,sing,['GO:0022857']
17,GO:BP,GO:0006508,proteolysis,7.509913614561885e-14,True,"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]",1068,1437,53,11798,0.03688239387613083,0.04962546816479401,sing,['GO:0019538']
18,GO:MF,GO:0035639,purine ribonucleoside triphosphate binding,7.988417667054677e-14,True,"""Interacting selectively and non-covalently with a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]",976,1310,41,11762,0.031297709923664124,0.042008196721311473,sing,"['GO:0043168', 'GO:1901265']"
19,GO:MF,GO:0003824,catalytic activity,1.0393244703011882e-13,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",4379,1310,359,11762,0.27404580152671754,0.08198218771408998,sing,['GO:0003674']
