,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0003674,molecular_function,5.368329719292495e-177,True,"""A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process."" [GOC:pdt]",11661,4316,3053,13824,0.7073679332715477,0.26181288054197754,fastevol,[]
1,GO:MF,GO:0003824,catalytic activity,1.2294354684722895e-160,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",4330,4316,689,13824,0.15963855421686746,0.15912240184757506,fastevol,['GO:0003674']
2,GO:MF,GO:0005488,binding,4.209858103550299e-133,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",6680,4316,1416,13824,0.32808155699721964,0.2119760479041916,fastevol,['GO:0003674']
3,GO:MF,GO:0043167,ion binding,2.7999420657871852e-129,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",2750,4316,359,13824,0.08317886932344763,0.13054545454545455,fastevol,['GO:0005488']
4,GO:MF,GO:0140096,"catalytic activity, acting on a protein",4.0023773892227728e-109,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",1533,4316,131,13824,0.030352177942539388,0.08545335942596216,fastevol,['GO:0003824']
5,GO:MF,GO:0016787,hydrolase activity,6.903596684839084e-106,True,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [ISBN:0198506732]",2030,4316,238,13824,0.0551436515291937,0.11724137931034483,fastevol,['GO:0003824']
6,GO:CC,GO:0110165,cellular anatomical entity,1.5673318293499884e-102,True,"""A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."" [GOC:kmv]",10262,4316,2674,13824,0.6195551436515292,0.2605729877216917,fastevol,['GO:0005575']
7,GO:CC,GO:0005886,plasma membrane,1.1222113442917534e-86,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",1650,4316,188,13824,0.04355885078776645,0.11393939393939394,fastevol,"['GO:0016020', 'GO:0071944']"
8,GO:MF,GO:0097367,carbohydrate derivative binding,1.8075445014510372e-84,True,"""Interacting selectively and non-covalently with a carbohydrate derivative."" [GOC:pr]",1198,4316,101,13824,0.02340129749768304,0.08430717863105175,fastevol,['GO:0005488']
9,GO:BP,GO:0009987,cellular process,8.326638614825182e-81,True,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",8615,4316,2172,13824,0.5032437442075997,0.25211839814277426,fastevol,['GO:0008150']
