,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0003674,molecular_function,7.788503656424015e-175,True,"""A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process."" [GOC:pdt]",11661,9484,8585,13824,0.9052087726697596,0.7362147328702513,other,[]
1,GO:MF,GO:0003824,catalytic activity,4.814762344236521e-159,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",4330,9484,3632,13824,0.38296077604386336,0.8387990762124712,other,['GO:0003674']
2,GO:MF,GO:0005488,binding,6.481934494073121e-128,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",6680,9484,5241,13824,0.55261493040911,0.7845808383233533,other,['GO:0003674']
3,GO:MF,GO:0043167,ion binding,2.4377219215610682e-123,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",2750,9484,2377,13824,0.25063264445381694,0.8643636363636363,other,['GO:0005488']
4,GO:MF,GO:0140096,"catalytic activity, acting on a protein",4.6957700085757e-108,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",1533,9484,1399,13824,0.14751159848165332,0.9125896934116112,other,['GO:0003824']
5,GO:MF,GO:0016787,hydrolase activity,1.110209345343402e-106,True,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [ISBN:0198506732]",2030,9484,1791,13824,0.18884436946436103,0.8822660098522167,other,['GO:0003824']
6,GO:CC,GO:0110165,cellular anatomical entity,8.000136482475438e-100,True,"""A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."" [GOC:kmv]",10262,9484,7564,13824,0.7975537747785745,0.7370882868836484,other,['GO:0005575']
7,GO:CC,GO:0005886,plasma membrane,1.7900453519290557e-85,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",1650,9484,1458,13824,0.15373260227752003,0.8836363636363637,other,"['GO:0016020', 'GO:0071944']"
8,GO:MF,GO:0097367,carbohydrate derivative binding,1.1276566817902217e-81,True,"""Interacting selectively and non-covalently with a carbohydrate derivative."" [GOC:pr]",1198,9484,1092,13824,0.11514129059468578,0.9115191986644408,other,['GO:0005488']
9,GO:CC,GO:0071944,cell periphery,2.7232391279743935e-79,True,"""The part of a cell encompassing the cell cortex, the plasma membrane, and any external encapsulating structures."" [GOC:mah]",1790,9484,1556,13824,0.16406579502319696,0.8692737430167597,other,['GO:0110165']
