,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:MF,GO:0003735,structural constituent of ribosome,1.801806754597303e-27,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",175,9484,46,13824,0.004850274145929988,0.26285714285714284,other,['GO:0005198']
1,GO:CC,GO:0044391,ribosomal subunit,1.5751169933755618e-26,True,"""Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."" [GOC:jl]",180,9484,50,13824,0.005272037115141291,0.2777777777777778,other,"['GO:0005840', 'GO:1990904']"
2,GO:CC,GO:0005840,ribosome,6.766384713233699e-24,True,"""An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."" [ISBN:0198506732]",200,9484,64,13824,0.006748207507380852,0.32,other,['GO:0043232']
3,GO:CC,GO:0015934,large ribosomal subunit,1.9427398834823328e-22,True,"""The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."" [ISBN:0198506732]",108,9484,22,13824,0.002319696330662168,0.2037037037037037,other,['GO:0044391']
4,GO:CC,GO:0005761,mitochondrial ribosome,6.175349901004349e-22,True,"""A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."" [GOC:mah, ISBN:0198506732]",80,9484,11,13824,0.001159848165331084,0.1375,other,"['GO:0000313', 'GO:0005759']"
5,GO:CC,GO:0000313,organellar ribosome,6.175349901004349e-22,True,"""A ribosome contained within a subcellular membrane-bounded organelle."" [GOC:mah, GOC:mcc]",80,9484,11,13824,0.001159848165331084,0.1375,other,"['GO:0005840', 'GO:0043226']"
6,KEGG,KEGG:03010,Ribosome,2.7420590670716946e-19,True,Ribosome,133,9484,38,13824,0.004006748207507381,0.2857142857142857,other,['KEGG:00000']
7,GO:BP,GO:0140053,mitochondrial gene expression,1.0447890990968964e-18,True,"""The process in which a mitochondrial gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [PMID:27058308]",132,9484,36,13824,0.003795866722901729,0.2727272727272727,other,['GO:0010467']
8,GO:BP,GO:0032543,mitochondrial translation,1.1902946481286426e-18,True,"""The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code."" [GOC:go_curators]",112,9484,27,13824,0.002846900042176297,0.24107142857142858,other,"['GO:0006412', 'GO:0140053']"
9,GO:CC,GO:0000315,organellar large ribosomal subunit,7.030723246731893e-15,True,"""The larger of the two subunits of an organellar ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."" [GOC:mcc]",51,9484,6,13824,0.0006326444538169548,0.11764705882352941,other,"['GO:0000313', 'GO:0015934']"
10,GO:CC,GO:0005762,mitochondrial large ribosomal subunit,7.030723246731893e-15,True,"""The larger of the two subunits of a mitochondrial ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."" [GOC:mcc]",51,9484,6,13824,0.0006326444538169548,0.11764705882352941,other,"['GO:0000315', 'GO:0005761', 'GO:0098798']"
11,GO:MF,GO:0005184,neuropeptide hormone activity,2.1311932640606226e-12,True,"""The action characteristic of a neuropeptide hormone, any peptide hormone that acts in the central nervous system. A neuropeptide is any of several types of molecules found in brain tissue, composed of short chains of amino acids; they include endorphins, enkephalins, vasopressin, and others. They are often localized in axon terminals at synapses and are classified as putative neurotransmitters, although some are also hormones."" [GOC:mah]",33,9484,1,13824,0.00010544074230282581,0.030303030303030304,other,['GO:0005179']
12,GO:CC,GO:1990904,ribonucleoprotein complex,1.1413151531427147e-11,True,"""A macromolecular complex that contains both RNA and protein molecules."" [GOC:krc, GOC:vesicles]",583,9484,316,13824,0.03331927456769296,0.5420240137221269,other,['GO:0032991']
13,GO:MF,GO:0005179,hormone activity,5.905371146762218e-10,True,"""The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process."" [GOC:dph, GOC:mah, ISBN:0198506732]",51,9484,10,13824,0.001054407423028258,0.19607843137254902,other,['GO:0048018']
14,GO:CC,GO:0099023,vesicle tethering complex,2.480811105967903e-09,True,"""Any protein complex that plays a role in vesicle tethering."" [GOC:dos, GOC:vw, PMID:27243008]",43,9484,8,13824,0.0008435259384226065,0.18604651162790697,other,['GO:0032991']
15,GO:CC,GO:0098798,mitochondrial protein-containing complex,1.0935031890684259e-08,True,"""A protein complex that is part of a mitochondrion."" [GOC:dos]",267,9484,133,13824,0.014023618726275833,0.49812734082397003,other,"['GO:0005739', 'GO:0032991']"
16,GO:BP,GO:0006412,translation,1.5002958100147364e-08,True,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",454,9484,243,13824,0.025622100379586673,0.5352422907488987,other,"['GO:0010467', 'GO:0034645', 'GO:0043043', 'GO:0044267']"
17,GO:CC,GO:0022625,cytosolic large ribosomal subunit,1.7535030024525694e-08,True,"""The large subunit of a ribosome located in the cytosol."" [GOC:mtg_sensu]",58,9484,16,13824,0.001687051876845213,0.27586206896551724,other,"['GO:0015934', 'GO:0022626']"
18,GO:CC,GO:0022626,cytosolic ribosome,3.442312160048913e-08,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",107,9484,42,13824,0.004428511176718684,0.3925233644859813,other,"['GO:0005829', 'GO:0005840']"
19,GO:CC,GO:0005759,mitochondrial matrix,3.550222972676235e-08,True,"""The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."" [GOC:as, ISBN:0198506732]",188,9484,88,13824,0.009278785322648671,0.46808510638297873,other,"['GO:0005739', 'GO:0043233', 'GO:0070013']"
20,GO:CC,GO:0000314,organellar small ribosomal subunit,1.849073572547923e-07,True,"""The smaller of the two subunits of an organellar ribosome."" [GOC:mcc]",31,9484,5,13824,0.000527203711514129,0.16129032258064516,other,"['GO:0000313', 'GO:0015935']"
21,GO:CC,GO:0005763,mitochondrial small ribosomal subunit,1.849073572547923e-07,True,"""The smaller of the two subunits of a mitochondrial ribosome."" [GOC:mcc]",31,9484,5,13824,0.000527203711514129,0.16129032258064516,other,"['GO:0000314', 'GO:0005761', 'GO:0098798']"
22,GO:BP,GO:0043043,peptide biosynthetic process,1.267650225407725e-06,True,"""The chemical reactions and pathways resulting in the formation of peptides, compounds of 2 or more (but usually less than 100) amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another. This may include the translation of a precursor protein and its subsequent processing into a functional peptide."" [GOC:dph, GOC:jl]",503,9484,281,13824,0.029628848587094053,0.558648111332008,other,"['GO:0006518', 'GO:0043604', 'GO:1901566']"
23,GO:CC,GO:0015935,small ribosomal subunit,1.613141285527929e-06,True,"""The smaller of the two subunits of a ribosome."" [GOC:mah]",77,9484,29,13824,0.0030577815267819487,0.37662337662337664,other,['GO:0044391']
24,GO:CC,GO:0005814,centriole,1.8684261366966674e-05,True,"""A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle."" [ISBN:0198547684]",45,9484,14,13824,0.0014761703922395613,0.3111111111111111,other,"['GO:0005815', 'GO:0043232']"
25,GO:BP,GO:0043604,amide biosynthetic process,2.624347228357039e-05,True,"""The chemical reactions and pathways resulting in the formation of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group."" [GOC:curators]",549,9484,316,13824,0.03331927456769296,0.575591985428051,other,"['GO:0043603', 'GO:0044271']"
