GeneID	GeneLength
LOC108013604|XP_016935034.1|DSUZ	1658
LOC108021091|XP_016945103.1|DSUZ	497
LOC108019009|XP_016942114.1|DSUZ	249
LOC108018971|XP_016942066.1|DSUZ	344
LOC108012285|XP_016933079.1|DSUZ	444
LOC108016756|XP_016938996.1|DSUZ	298
LOC108016736|XP_016938965.1|DSUZ	666
LOC108005885|XP_016924760.1|DSUZ	537
LOC108014220|XP_016935744.1|DSUZ	223
LOC108014164|XP_016935691.1|DSUZ	604
LOC108014175|XP_016935702.1|DSUZ	528
LOC108014227|XP_016935754.1|DSUZ	143
LOC108020958|XP_016944894.1|DSUZ	347
LOC108004636|XP_016923077.1|DSUZ	680
LOC108020992|XP_016944942.1|DSUZ	1462
LOC108020749|XP_016944618.1|DSUZ	751
LOC108020303|XP_016943926.1|DSUZ	185
LOC108021296|XP_016945432.1|DSUZ	153
LOC108010321|XP_016930721.1|DSUZ	137
LOC108021352|XP_016945525.1|DSUZ	714
LOC108021081|XP_016945087.1|DSUZ	319
LOC108012845|XP_016933803.1|DSUZ	139
LOC108006858|XP_016925917.1|DSUZ	344
LOC108009756|XP_016929866.1|DSUZ	228
LOC108021329|XP_016945488.1|DSUZ	1977
LOC108011570|XP_016932232.1|DSUZ	202
LOC108021009|XP_016944975.1|DSUZ	664
LOC108005606|XP_016924407.1|DSUZ	356
LOC108006120|XP_016925061.1|DSUZ	161
LOC108021163|XP_016945233.1|DSUZ	392
LOC108012884|XP_016933868.1|DSUZ	95
LOC108010915|XP_016931407.1|DSUZ	263
LOC108008153|XP_016927434.1|DSUZ	591
LOC108011330|XP_016931932.1|DSUZ	204
LOC108021639|XP_016945936.1|DSUZ	474
LOC108006441|XP_016925458.1|DSUZ	189
LOC108006815|XP_016925855.1|DSUZ	313
LOC108005364|XP_016924108.1|DSUZ	434
LOC108021156|XP_016945221.1|DSUZ	741
LOC108021410|XP_016945606.1|DSUZ	248
LOC108021587|XP_016945865.1|DSUZ	599
LOC108007722|XP_016926966.1|DSUZ	435
LOC108021232|XP_016945327.1|DSUZ	907
LOC108010682|XP_016931083.1|DSUZ	291
LOC108010191|XP_016930527.1|DSUZ	328
LOC108011242|XP_016931838.1|DSUZ	130
LOC108019388|XP_016942705.1|DSUZ	1306
LOC108006627|XP_016925648.1|DSUZ	117
LOC108021506|XP_016945748.1|DSUZ	664
LOC108021507|XP_016945749.1|DSUZ	159
LOC108021496|XP_016945728.1|DSUZ	770
LOC108021150|XP_016945210.1|DSUZ	894
LOC108021339|XP_016945505.1|DSUZ	258
LOC108021532|XP_016945783.1|DSUZ	455
LOC108016483|XP_016938638.1|DSUZ	2282
LOC108021372|XP_016945552.1|DSUZ	126
LOC108021371|XP_016945551.1|DSUZ	330
LOC108005615|XP_016924417.1|DSUZ	396
LOC108021248|XP_016945355.1|DSUZ	760
LOC108017003|XP_016939447.1|DSUZ	133
LOC108021210|XP_016945298.1|DSUZ	222
LOC108006420|XP_016925436.1|DSUZ	198
LOC108007647|XP_016926861.1|DSUZ	151
LOC108021224|XP_016945312.1|DSUZ	496
LOC108021226|XP_016945314.1|DSUZ	191
LOC108020961|XP_016944896.1|DSUZ	301
LOC108020959|XP_016944893.1|DSUZ	596
LOC108021014|XP_016944982.1|DSUZ	251
LOC108006725|XP_016925760.1|DSUZ	179
LOC108006705|XP_016925737.1|DSUZ	274
LOC108021393|XP_016945579.1|DSUZ	472
LOC108021645|XP_016945944.1|DSUZ	487
LOC108010954|XP_016931457.1|DSUZ	242
LOC108009323|XP_016929086.1|DSUZ	277
LOC108005464|XP_016924252.1|DSUZ	530
LOC108021332|XP_016945492.1|DSUZ	979
LOC108021576|XP_016945847.1|DSUZ	276
LOC108020379|XP_016944124.1|DSUZ	854
LOC108015134|XP_016936891.1|DSUZ	302
LOC108011887|XP_016932626.1|DSUZ	183
LOC108021475|XP_016945705.1|DSUZ	116
LOC108021358|XP_016945533.1|DSUZ	80
LOC108008045|XP_016927321.1|DSUZ	272
LOC108008056|XP_016927330.1|DSUZ	218
LOC108021551|XP_016945811.1|DSUZ	330
LOC108012472|XP_016933357.1|DSUZ	170
LOC108020395|XP_016944160.1|DSUZ	1446
LOC108021256|XP_016945364.1|DSUZ	865
LOC108018118|XP_016941043.1|DSUZ	776
LOC108021666|XP_016945970.1|DSUZ	416
LOC108005081|XP_016923741.1|DSUZ	112
LOC108005078|XP_016923726.1|DSUZ	201
LOC108005089|XP_016923753.1|DSUZ	223
LOC108005421|XP_016924191.1|DSUZ	361
LOC108007981|XP_016927252.1|DSUZ	443
LOC108009894|XP_016930106.1|DSUZ	169
LOC108005698|XP_016924517.1|DSUZ	196
LOC108005715|XP_016924536.1|DSUZ	113
LOC108019425|XP_016942739.1|DSUZ	506
LOC108017723|XP_016940325.1|DSUZ	571
LOC108021413|XP_016945614.1|DSUZ	469
LOC108021125|XP_016945170.1|DSUZ	425
LOC108021124|XP_016945169.1|DSUZ	1359
LOC108021286|XP_016945414.1|DSUZ	197
LOC108018075|XP_016940969.1|DSUZ	938
LOC108009355|XP_016929147.1|DSUZ	118
LOC108021397|XP_016945586.1|DSUZ	438
LOC108008452|XP_016927798.1|DSUZ	294
LOC108021732|XP_016946059.1|DSUZ	519
LOC108021731|XP_016946058.1|DSUZ	566
LOC108007103|XP_016926231.1|DSUZ	113
LOC108017279|XP_016939788.1|DSUZ	1725
LOC108007638|XP_016926850.1|DSUZ	124
LOC108021447|XP_016945656.1|DSUZ	1083
LOC108014688|XP_016936355.1|DSUZ	56
LOC108014616|XP_016936271.1|DSUZ	545
LOC108019522|XP_016942843.1|DSUZ	841
LOC108021190|XP_016945267.1|DSUZ	292
LOC108021268|XP_016945387.1|DSUZ	153
LOC108004689|XP_016923189.1|DSUZ	149
LOC108013420|XP_016934774.1|DSUZ	122
LOC108007841|XP_016927128.1|DSUZ	160
LOC108009976|XP_016930240.1|DSUZ	116
LOC108018143|XP_016941095.1|DSUZ	128
LOC108005009|XP_016923636.1|DSUZ	364
LOC108021519|XP_016945765.1|DSUZ	877
LOC108020892|XP_016944791.1|DSUZ	750
LOC108021472|XP_016945700.1|DSUZ	380
LOC108021707|XP_016946030.1|DSUZ	637
LOC108021142|XP_016945194.1|DSUZ	979
LOC108021411|XP_016945607.1|DSUZ	525
LOC108021230|XP_016945325.1|DSUZ	425
LOC108008423|XP_016927763.1|DSUZ	83
LOC108009038|XP_016928512.1|DSUZ	354
LOC108005517|XP_016924304.1|DSUZ	238
LOC108021652|XP_016945957.1|DSUZ	77
LOC108016551|XP_016938717.1|DSUZ	551
LOC108021725|XP_016946049.1|DSUZ	1296
LOC108021726|XP_016946051.1|DSUZ	136
LOC108011025|XP_016931549.1|DSUZ	163
LOC108021493|XP_016945730.1|DSUZ	159
LOC108006926|XP_016926021.1|DSUZ	247
LOC108006912|XP_016926001.1|DSUZ	379
LOC108009436|XP_016929266.1|DSUZ	253
LOC108006187|XP_016925116.1|DSUZ	527
LOC108021203|XP_016945292.1|DSUZ	265
LOC108021196|XP_016945278.1|DSUZ	516
LOC108021400|XP_016945592.1|DSUZ	497
LOC108021220|XP_016945309.1|DSUZ	654
LOC108014015|XP_016935515.1|DSUZ	379
LOC108012116|XP_016932892.1|DSUZ	143
LOC108021346|XP_016945517.1|DSUZ	549
LOC108021345|XP_016945520.1|DSUZ	116
LOC108019067|XP_016942201.1|DSUZ	1083
LOC108020937|XP_016944858.1|DSUZ	1452
LOC108019745|XP_016943177.1|DSUZ	224
LOC108021344|XP_016945515.1|DSUZ	892
LOC108015347|XP_016937249.1|DSUZ	247
LOC108021170|XP_016945240.1|DSUZ	621
LOC108007569|XP_016926754.1|DSUZ	853
LOC108021362|XP_016945541.1|DSUZ	1370
LOC108007460|XP_016926621.1|DSUZ	541
LOC108021179|XP_016945250.1|DSUZ	442
LOC108021261|XP_016945372.1|DSUZ	282
LOC108021392|XP_016945578.1|DSUZ	181
LOC108012357|XP_016933200.1|DSUZ	186
LOC108012608|XP_016933520.1|DSUZ	152
LOC108009507|XP_016929411.1|DSUZ	421
LOC108019590|XP_016942922.1|DSUZ	921
LOC108021638|XP_016945935.1|DSUZ	230
LOC108020206|XP_016943813.1|DSUZ	947
LOC108013090|XP_016934219.1|DSUZ	128
LOC108007817|XP_016927072.1|DSUZ	245
LOC108021307|XP_016945450.1|DSUZ	1003
LOC108021097|XP_016945112.1|DSUZ	637
LOC108021318|XP_016945470.1|DSUZ	180
LOC108018792|XP_016941869.1|DSUZ	1418
LOC108021023|XP_016944992.1|DSUZ	1322
LOC108010675|XP_016931071.1|DSUZ	216
LOC108011029|XP_016931564.1|DSUZ	251
LOC108013075|XP_016934188.1|DSUZ	155
LOC108013013|XP_016934094.1|DSUZ	90
LOC108018375|XP_016941412.1|DSUZ	424
LOC108011168|XP_016931776.1|DSUZ	531
LOC108021702|XP_016946021.1|DSUZ	1577
LOC108020663|XP_016944517.1|DSUZ	949
LOC108011541|XP_016932231.1|DSUZ	106
LOC108012519|XP_016933425.1|DSUZ	141
LOC108010110|XP_016930425.1|DSUZ	279
LOC108012107|XP_016932880.1|DSUZ	405
LOC108004882|XP_016923458.1|DSUZ	476
LOC108009789|XP_016929928.1|DSUZ	146
LOC108016085|XP_016938174.1|DSUZ	60
LOC108007492|XP_016926667.1|DSUZ	165
LOC108021486|XP_016945716.1|DSUZ	341
LOC108020880|XP_016944769.1|DSUZ	123
LOC108012197|XP_016933016.1|DSUZ	299
