None	AALB	ACEP	AGAM	AMEL	BMOR	BTAB	BTER	CNAS	CSOL	DANA	DARI	DBIA	DBIP	DBUS	DELE	DERE	DEUG	DGRI	DGUA	DHYD	DKIK	DMEL	DMIR	DMOJ	DNAV	DNOV	DOBS	DPER	DPLE	DPSE	DRHO	DSER	DSIM	DSUZ	DTAK	DVIR	DWIL	DYAK	GMEL	HKAH	MPHA	MSAC	NVIT	OBIR	PPOL	PXUT	SLEB	TCAS	TRNI	DSEC
LOC108013697|XP_016935104.1|DSUZ	0	0	0	0	0	0	0	0	0	51.6	60.1	96.3	55.5	52.0	82.8	96.3	73.9	54.3	49.3	57.0	55.5	93.6	63.2	59.3	59.7	51.2	58.5	59.3	0	60.8	87.0	55.8	90.5	151.8	70.9	51.6	52.0	78.6	0	0	0	0	0	0	0	0	0	0	0	90.9
LOC108008931|XP_016928331.1|DSUZ	0	0	0	0	0	0	0	0	0	99.8	0	182.6	97.1	50.1	136.0	140.6	112.5	63.9	42.0	59.7	119.8	149.8	49.7	58.2	62.4	64.3	65.1	48.1	0	47.0	128.3	110.9	146.7	211.1	139.8	58.9	0	143.7	0	0	0	0	0	0	0	0	0	0	0	137.1
LOC108008167|XP_016927446.1|DSUZ	0	0	0	0	0	0	0	0	0	117.1	58.5	183.3	120.9	0	152.1	157.5	147.1	0	0	54.3	111.7	151.0	87.4	58.5	55.5	0	97.8	0	0	72.8	155.2	124.0	130.6	211.1	162.5	0	0	155.2	0	0	0	0	0	0	0	0	0	0	0	129.8
LOC108004938|XP_016923526.1|DSUZ	0	0	0	0	0	0	0	0	0	852.8	373.65000000000003	2224.1	792.7	248.25	1500.0	1671.8	1793.1	641.3	826.6	636.0	919.1	1517.7	951.0	379.8	287.9666666666667	716.1	357.43333333333334	969.9	0	793.9	1510.4	943.7	1640.9	4782.2	1743.4	663.7	389.85	1569.3	0	0	0	0	0	0	0	0	320.1	0	0	1536.5
LOC108013075|XP_016934188.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	243.8	0	0	228.4	199.9	192.2	0	0	0	0	221.1	0	0	0	0	0	0	0	0	240.0	0	225.3	311.6	235.3	0	0	216.5	0	0	0	0	0	0	0	0	0	0	0	206.8
LOC108011873|XP_016932605.1|DSUZ	54.7	0	64.3	0	0	0	0	59.3	0	217.2	129.0	296.2	213.8	115.9	305.8	310.5	310.8	127.9	177.9	136.3	235.7	269.6	187.2	124.4	128.3	133.7	163.7	173.3	0	188.0	313.9	235.3	283.9	423.3	339.3	135.2	153.3	294.3	43.5	0	0	0	0	0	40.8	40.8	100.1	40.8	0	281.6
LOC108007884|XP_016927142.1|DSUZ	48.9	0	0	0	0	0	0	50.1	0	334.3	169.5	684.9	321.2	169.5	406.0	531.2	548.1	176.8	130.15	200.3	151.0	536.6	224.6	177.9	123.25	224.6	195.7	208.0	0	203.0	442.6	186.8	523.9	978.0	565.8	200.3	200.3	534.3	0	0	0	0	0	0	0	0	181.8	0	0	517.3
LOC108012546|XP_016933449.1|DSUZ	0	0	0	0	0	0	0	0	0	66.2	0	223.8	70.9	0	123.2	117.5	79.0	0	0	0	0	101.7	0	0	0	0	0	0	0	0	0	57.0	115.5	282.7	127.9	0	0	133.3	0	0	0	0	0	0	0	0	0	0	0	115.5
LOC108008711|XP_016928097.1|DSUZ	0	0	0	0	0	0	0	0	0	82.0	0	552.4	104.4	52.4	291.6	320.9	261.2	63.5	0	72.8	0	293.5	0	0	42.4	92.8	45.1	0	0	0	317.95	0	280.0	687.2	376.3	99.8	66.6	312.8	0	0	0	0	0	0	0	0	68.6	0	0	265.4
LOC108005300|XP_016924000.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	102.4	0	0	83.2	92.4	77.0	0	0	0	0	93.2	0	0	0	0	0	0	0	0	83.2	0	89.7	139.4	84.7	0	0	92.4	0	0	0	0	0	0	0	0	0	0	0	89.7
