None	AALB	ACEP	AGAM	AMEL	BMOR	BTAB	BTER	CNAS	CSOL	DANA	DARI	DBIA	DBIP	DBUS	DELE	DERE	DEUG	DGRI	DGUA	DHYD	DKIK	DMEL	DMIR	DMOJ	DNAV	DNOV	DOBS	DPER	DPLE	DPSE	DRHO	DSER	DSIM	DSUZ	DTAK	DVIR	DWIL	DYAK	GMEL	HKAH	MPHA	MSAC	NVIT	OBIR	PPOL	PXUT	SLEB	TCAS	TRNI	DSEC
LOC108021542|XP_016945797.1|DSUZ	266.5	204.9	0	204.1	0	210.3	208.0	0	0	501.5	477.2	539.3	501.5	483.0	515.0	515.0	486.1	472.6	482.6	432.6	509.6	523.9	482.3	477.2	477.2	486.1	479.2	486.9	0	486.9	482.3	509.6	526.2	542.0	533.1	486.1	475.3	519.6	0	0	205.7	199.9	0	206.1	0	0	469.2	217.2	0	526.2
LOC108016604|XP_016938783.1|DSUZ	69.56666666666666	99.0	112.5	81.3	51.95	43.1	108.6	82.66666666666667	81.6	307.4	251.5	471.1	308.1	298.1	364.0	393.7	443.0	241.5	212.2	283.5	167.2	347.1	126.35	255.4	265.4	326.6	129.95	126.9	48.9	127.65	457.2	185.45	375.9	601.3	312.0	331.3	279.6	386.3	95.1	79.5	108.6	70.7	52.95	62.8	74.55	74.15	197.8	94.4	55.1	306.6
LOC108013288|XP_016934548.1|DSUZ	0	0	0	0	0	0	0	0	0	146.4	90.1	387.5	148.7	110.5	286.2	295.8	271.6	108.2	93.6	91.7	154.5	293.5	89.4	90.5	90.1	103.6	107.8	88.2	0	88.2	290.8	145.6	294.7	424.9	335.1	103.6	110.5	288.5	0	0	0	0	0	0	0	0	109.0	0	0	292.7
LOC108019106|XP_016942301.1|DSUZ	369.4	0	104.0	0	60.1	47.8	0	0	54.3	2011.5	1403.3	2528.8	1878.2	1161.4	2159.8	1908.3	2388.2	1460.3	1646.3	1273.1	1939.9	2281.5	1679.1	1459.5	1372.5	1500.7	1550.0	1598.2	53.1	1599.3	2197.9	1917.5	2243.8	2837.8	2202.6	1539.6	1566.6	2179.1	60.1	58.5	0	58.2	53.1	0	60.1	51.6	1456.4	149.8	67.4	2286.1
LOC108006140|XP_016925084.1|DSUZ	141.7	104.0	0	111.3	126.7	92.8	122.9	145.6	120.6	181.0	218.4	400.6	205.3	208.4	229.2	296.6	160.6	191.4	265.4	217.6	218.8	285.8	269.6	226.1	213.8	229.6	265.4	267.3	111.7	267.3	261.2	218.0	270.8	481.9	323.9	213.8	221.9	190.1	132.9	132.9	102.8	99.0	0	102.1	124.8	128.6	204.9	126.3	129.4	270.8
LOC108017666|XP_016940264.1|DSUZ	177.9	234.6	178.3	206.8	256.5	110.15	241.1	281.6	202.6	594.0	226.5	700.7	594.7	347.1	664.8	659.8	689.5	387.1	458.4	321.2	588.2	659.1	447.2	359.8	284.3	0	493.0	458.8	248.8	460.3	667.2	588.6	661.0	730.7	678.7	356.3	439.1	672.5	258.8	164.5	61.5	143.3	224.9	153.43333333333334	212.2	250.4	322.8	233.0	197.2	664.1
LOC108015330|XP_016937220.1|DSUZ	100.8	68.9	86.3	0	79.3	0	0	92.19999999999999	0	167.2	144.8	188.3	166.0	137.1	183.0	184.5	176.0	135.2	127.5	143.3	172.9	183.3	135.6	144.8	145.2	145.2	130.2	134.4	83.6	132.9	184.1	166.4	183.0	194.1	186.0	132.9	140.2	181.8	81.3	76.6	0	0	69.3	73.2	77.8	78.2	145.6	78.2	79.7	183.7
LOC108011850|XP_016932578.1|DSUZ	341.7	189.1	322.0	182.2	128.3	164.1	176.4	312.8	185.3	917.1	803.9	1026.2	879.4	786.2	1003.8	1009.2	1007.3	817.8	856.3	805.1	971.8	1005.7	862.1	812.4	799.7	807.7	843.2	868.2	202.6	870.2	1005.0	972.2	1003.4	1038.1	1000.7	793.1	834.7	1011.1	216.5	205.7	190.7	114.4	179.1	178.7	208.0	209.5	795.4	215.3	212.6	1006.9
LOC108006845|XP_016925884.1|DSUZ	112.5	97.1	115.9	95.1	94.7	88.2	95.1	120.6	89.0	163.3	161.4	163.3	162.2	159.8	163.3	162.2	163.3	162.2	162.9	161.4	163.3	153.7	160.6	161.4	161.4	162.2	163.3	159.5	87.0	162.2	163.3	155.2	153.7	163.3	163.3	162.2	162.2	162.2	94.7	97.8	98.2	68.2	89.7	94.7	0	95.5	163.3	97.4	95.1	152.5
LOC108010735|XP_016931152.1|DSUZ	140.2	103.6	77.8	98.2	0	85.1	116.3	149.1	114.8	924.5	734.9	1175.6	863.2	743.8	1113.6	1111.7	1126.3	724.9	852.4	647.5	976.5	1090.1	875.2	735.3	735.7	731.5	882.1	879.0	0	876.7	1109.7	988.0	1096.6	1266.1	1172.5	737.3	769.2	1114.8	0	0	114.0	57.8	103.2	124.0	0	0	691.4	0	0	1093.6
LOC108006683|XP_016925711.1|DSUZ	0	0	0	0	0	0	0	0	0	64.3	48.5	102.4	61.2	0	89.0	89.0	90.9	62.4	64.3	50.8	76.3	83.6	60.1	48.5	0	0	64.7	60.8	0	56.6	94.7	74.7	91.3	117.5	97.8	0	52.4	84.0	0	0	0	0	0	0	0	0	58.5	0	0	92.8
LOC108016666|XP_016938871.1|DSUZ	0	0	0	0	0	0	0	0	0	55.5	64.3	207.2	0	58.9	103.2	144.8	144.1	68.2	57.4	57.8	109.4	147.5	63.5	61.6	65.9	65.5	58.9	104.0	0	65.1	99.4	50.4	141.4	239.6	144.1	76.6	50.1	146.7	0	0	0	0	0	0	0	0	48.1	0	0	132.9
LOC108018143|XP_016941095.1|DSUZ	0	0	0	0	0	0	0	0	0	112.5	89.7	213.8	80.15	94.0	132.5	170.2	141.7	78.2	53.46666666666666	90.5	93.2	124.0	58.800000000000004	90.9	90.5	95.9	59.699999999999996	65.69999999999999	0	65.1	139.8	92.8	129.0	244.6	167.5	76.6	84.3	166.0	0	0	0	0	0	0	0	0	120.9	0	0	131.3
LOC108013796|XP_016935255.1|DSUZ	0	0	0	0	0	0	0	0	0	61.2	67.8	101.7	61.2	60.1	70.9	65.5	128.3	45.099999999999994	46.2	69.3	59.7	121.7	53.5	60.5	67.0	0	53.1	53.5	0	53.5	93.2	60.8	140.2	185.7	80.9	65.1	52.0	76.3	0	0	0	0	0	0	0	0	47.4	0	0	135.2
LOC108020904|XP_016944810.1|DSUZ	389.4	266.9	196.45	263.5	342.0	280.0	259.2	349.7	254.2	1159.4	627.1	1413.3	1136.3	519.6	1297.3	1334.3	1372.5	604.0	914.1	724.9	1120.5	1359.4	930.2	732.6	686.4	330.65	876.3	929.6500000000001	343.2	930.6	1372.1	639.8	1366.3	1454.9	1357.0	372.1	593.6	1342.0	343.2	342.8	269.2	267.3	252.3	260.4	344.0	345.1	741.5	314.7	342.4	1354.0
LOC108011688|XP_016932380.1|DSUZ	159.5	94.0	123.6	69.3	0	0	68.9	141.4	85.9	389.4	129.4	541.2	265.0	223.8	285.8	459.9	279.6	111.56666666666666	350.9	130.16666666666666	130.6	272.3	374.4	129.53333333333333	127.10000000000002	130.66666666666666	357.5	294.5	0	378.3	488.8	266.2	284.3	640.6	255.8	130.79999999999998	325.5	276.6	50.4	49.7	60.5	0	54.7	73.6	0	0	401.7	0	0	493.8
LOC108010658|XP_016931045.1|DSUZ	355.3	199.5	319.7	196.1	157.1	167.2	214.2	427.6	161.8	1084.3	0	1201.8	1075.5	876.3	1148.7	1111.3	1138.6	912.9	1033.1	892.9	1106.7	1112.4	1020.0	897.1	885.9	912.5	1026.9	1022.3	145.2	1021.1	1130.9	1075.1	1090.1	1325.1	1172.9	926.0	910.6	1098.6	139.8	143.7	162.2	123.25	195.7	147.5	153.7	141.7	875.9	211.5	142.9	1094.3
LOC108008419|XP_016927754.1|DSUZ	486.5	443.4	459.5	432.2	333.6	431.8	435.6	306.8	435.3	712.2	652.5	842.4	429.3	664.1	411.23333333333335	823.2	499.95000000000005	667.2	684.5	658.3	492.1	817.4	696.0	653.7	652.5	671.8	372.73333333333335	696.0	401.4	694.9	812.8	765.0	817.0	869.4	832.4	677.2	678.3	824.3	388.3	387.5	303.35	367.1	439.5	444.9	388.3	382.9	669.8	423.3	398.3	814.7
