None	aaaa	bbbb	cccc	dddd	eeee	ffff	gggg	hhhh	iiii	jjjj	kkkk	llll
Cyp6a17|NP_652018.1|DMEL	1004.6	0	0	0	0	0	875.9	0	0	0	0	464.53333333333336
Cyp6a23|NP_611000.2|DMEL	1011.9	0	0	0	0	0	872.5	0	0	0	0	471.3999999999999
Cyp6a9|NP_523748.2|DMEL	1020.0	0	0	0	0	0	0	854.7	0	0	0	479.5
Cyp6a21|NP_611003.2|DMEL	1023.5	0	0	0	0	0	0	856.3	0	0	0	482.31666666666666
Jon25Biii|NP_608881.1|DMEL	556.6	0	0	0	0	0	0	0	0	460.5	0	275.24
Jon66Cii|NP_648217.1|DMEL	568.5	0	0	0	0	0	0	0	0	464.95000000000005	0	281.06
Jon66Ci|NP_729372.1|DMEL	564.7	0	0	0	0	0	0	0	0	462.45000000000005	0	282.58000000000004
CG18180|NP_648341.1|DMEL	560.5	0	0	0	0	0	0	0	0	0	178.3	236.29999999999998
CG3088|NP_648334.1|DMEL	511.9	0	0	0	0	0	0	0	0	0	174.1	224.53333333333333
yip7|NP_523944.1|DMEL	522.7	0	0	0	0	0	0	357.8	0	0	0	347.1
CG10477|NP_648010.1|DMEL	524.6	0	0	0	0	0	0	357.5	0	0	0	365.5
lectin-24A|NP_652637.1|DMEL	578.9	0	0	0	0	0	138.3	0	0	0	0	95.47272727272728
lectin-22C|NP_001137766.1|DMEL	538.9	0	0	0	0	128.6	0	0	0	0	0	104.93636363636364
CG15818|NP_609116.1|DMEL	570.9	0	0	0	0	0	132.5	0	0	0	0	104.30999999999999
lectin-24Db|NP_652641.1|DMEL	576.6	0	0	0	0	129.0	0	0	0	0	0	99.96363636363635
Acp29AB|NP_523512.2|DMEL	483.8	0	190.7	0	151.8	0	0	0	0	0	0	81.9875
lectin-30A|NP_652635.2|DMEL	459.9	0	0	0	143.5	0	0	0	0	0	0	84.47
lectin-29Ca|NP_652640.1|DMEL	441.8	0	192.6	0	136.3	0	0	0	0	0	0	77.38
CG2839|NP_608540.1|DMEL	580.1	0	0	0	0	201.1	0	0	0	0	0	94.06923076923076
lectin-21Cb|NP_608539.2|DMEL	519.2	0	0	0	0	204.1	0	0	0	0	0	94.03636363636362
Ugt35D1|NP_651866.1|DMEL	1055.0	0	0	0	0	0	662.3	0	0	0	564.3	0
Ugt35E1|NP_652622.3|DMEL	1042.0	0	0	0	0	0	681.55	0	0	0	542.3	0
Ugt35E2|NP_652623.2|DMEL	1075.8	0	0	0	0	0	695.45	0	0	0	556.2	0
CG17097|NP_609429.1|DMEL	1240.7	0	0	0	0	0	0	346.8	0	0	0	305.65
CG18284|NP_609428.1|DMEL	856.7	0	760.0	0	0	0	0	271.0	0	0	0	292.04999999999995
CG31872|NP_723603.1|DMEL	935.6	0	762.3	0	0	0	0	498.4	0	0	0	292.825
Ccp84Ab|NP_649682.1|DMEL	259.2	0	0	0	0	0	255.4	0	0	0	0	149.75
Ccp84Aa|NP_649683.1|DMEL	257.3	0	0	0	0	0	255.4	0	0	0	0	147.6
CG6788|NP_573254.1|DMEL	737.6	0	0	0	0	0	0	0	0	207.6	0	155.5
CG31832|NP_723894.2|DMEL	491.5	0	0	0	0	0	0	0	0	210.7	0	157.275
CG30281|NP_726164.1|DMEL	604.7	0	0	0	0	0	0	0	0	0	274.6	162.82500000000002
CG30280|NP_611641.6|DMEL	607.1	0	0	0	0	0	0	0	0	0	273.1	164.45
CG31793|NP_609930.4|DMEL	2535.8	0	0	0	0	0	0	0	0	1790.4	0	1441.6750000000002
CG9270|NP_995741.2|DMEL	2473.7	0	0	0	0	0	0	0	0	1793.1	0	1413.3500000000001
CG31792|NP_724148.2|DMEL	2538.8	0	0	0	0	0	0	1713.4	0	0	0	1301.3000000000002
CG7627|NP_001245943.1|DMEL	2558.1	0	0	0	0	0	0	1708.7	0	0	0	1498.125
Hsp70Ba|NP_731716.1|DMEL	1260.1	1241.1	0	0	0	0	0	0	0	0	0	1044.6
Hsp70Ab|NP_524798.2|DMEL	1260.0	1246.575	0	0	0	0	0	0	0	0	0	1048.5
Hsp70Bc|NP_650209.1|DMEL	1261.9750000000001	1244.6	0	0	0	0	0	0	0	0	0	1046.2
Hsp70Bb|NP_524927.2|DMEL	1261.9750000000001	1244.6	0	0	0	0	0	0	0	0	0	1046.2
Hsp70Aa|NP_731651.1|DMEL	1260.0	1246.575	0	0	0	0	0	0	0	0	0	1048.5
Hsp70Bbb|NP_788663.1|DMEL	1260.625	1241.9	0	0	0	0	0	0	0	0	0	1043.5
CG31097|NP_733093.2|DMEL	866.3	0	0	0	0	0	0	0	0	0	404.1	212.73846153846156
CG31288|NP_733094.1|DMEL	816.2	0	0	0	0	0	0	0	0	0	402.1	215.30769230769226
CG6834|NP_650104.2|DMEL	1803.9	0	0	0	0	0	0	1161.0	0	0	0	261.15384615384613
CG6830|NP_650103.1|DMEL	1755.7	0	0	0	0	0	0	1162.9	0	0	0	269.2923076923077
CHKov1|NP_001097918.1|DMEL	825.9	0	0	0	0	0	0	644.8	0	0	0	290.80000000000007
CG10562|NP_651385.3|DMEL	810.4	0	0	0	0	0	0	649.0	0	0	0	292.4307692307692
CG10560|NP_651384.2|DMEL	843.6	0	0	0	0	0	0	608.6	0	0	0	282.96153846153845
CG10553|NP_651383.1|DMEL	847.0	0	0	0	0	0	0	612.5	0	0	0	273.1923076923077
CG30047|NP_725141.1|DMEL	1760.7	0	0	0	0	0	0	0	0	1187.9499999999998	0	895.55
CG30043|NP_725143.1|DMEL	1785.4	0	0	0	0	0	0	0	1131.3	1208.7	0	837.875
CG30049|NP_725142.3|DMEL	1753.0	0	0	0	0	0	0	0	1137.9	1181.0	0	865.9
CG33012|NP_788335.2|DMEL	1849.7	0	0	0	0	0	0	0	0	1134.4	0	873.4399999999999
CG13160|NP_001260918.1|DMEL	1763.0	0	0	0	0	0	0	0	0	1128.6	0	852.5200000000001
CG10081|NP_611418.1|DMEL	1736.1	0	0	0	0	0	0	0	1082.4	0	0	772.56
CG10073|NP_001261090.1|DMEL	1749.2	0	0	0	0	0	0	0	1080.9	0	0	782.26
CG11659|NP_650829.1|DMEL	1089.5	0	0	0	0	0	0	804.7	0	0	0	396.88
CG6300|NP_650828.1|DMEL	1082.4	0	0	0	0	0	0	812.0	0	0	0	398.98
CG11407|NP_650831.1|DMEL	1083.6	0	0	0	0	0	0	808.1500000000001	0	0	0	410.68
CG10182|NP_651158.1|DMEL	1402.1	0	0	0	0	0	810.8	0	743.0	691.0	0	534.72
CG33337|NP_996269.2|DMEL	1414.1	0	0	0	0	0	814.3	0	734.6	675.6	0	516.6800000000001
CG16723|NP_651159.3|DMEL	1390.2	0	0	0	0	0	0	0	738.05	648.7	0	526.24
CG14204|NP_608321.1|DMEL	1442.2	0	0	0	0	0	0	0	0	674.4666666666667	0	555.52
CG5892|NP_650959.2|DMEL	1375.9	0	0	0	0	0	0	0	0	0	682.2	534.9666666666667
CG14219|NP_608322.1|DMEL	1426.0	0	0	0	0	0	0	0	865.9	0	654.4	565.8333333333334
CG14205|NP_608323.1|DMEL	1427.2	0	0	0	0	0	0	0	871.7	0	681.4	574.0666666666667
CG12133|NP_610540.2|DMEL	676.8	0	0	0	0	181.60000000000002	0	0	0	0	0	169.6
CG31219|NP_001097837.1|DMEL	730.7	0	0	0	0	187.60000000000002	0	0	0	0	0	191.16666666666666
CG18754|NP_652652.3|DMEL	706.8	0	0	0	0	191.8	0	0	0	0	0	161.26666666666668
Alp8|NP_611655.1|DMEL	1068.5	0	0	0	0	919.8	0	0	0	0	0	680.2
Alp2|NP_611654.1|DMEL	1085.5	0	0	0	0	923.7	0	0	0	0	0	686.0
GstE6|NP_611328.1|DMEL	444.1	0	0	0	0	0	0	0	326.45	0	0	233.26
GstE8|NP_611330.2|DMEL	443.7	0	0	0	0	0	0	339.0	325.1	0	0	231.64000000000001
GstE7|NP_611329.1|DMEL	446.8	0	0	0	0	0	0	338.6	322.8	0	0	241.9
Cyp9f3|NP_001350862.1|DMEL	860.1	0	785.8	0	0	0	0	0	0	0	0	300.0333333333333
Cyp9f2|NP_650189.1|DMEL	1042.3	0	787.7	0	0	0	0	0	0	0	0	418.8333333333333
Or85c|NP_524280.2|DMEL	763.5	0	0	0	0	0	0	0	530.4	0	0	211.375
Or85b|NP_524279.2|DMEL	772.7	0	0	0	0	0	0	0	534.6	0	0	228.575
GstD8|NP_524916.1|DMEL	444.1	0	0	0	0	0	0	0	0	272.15	0	274.1
GstD4|NP_524913.1|DMEL	441.0	0	0	0	0	0	0	279.6	0	293.1	0	272.7
GstD3|NP_788656.1|DMEL	411.4	0	0	0	0	0	0	277.3	0	246.1	0	241.3
LysP|NP_476828.1|DMEL	298.9	0	0	0	0	0	0	0	0	0	231.9	194.0
LysD|NP_476823.1|DMEL	307.4	0	0	0	0	0	0	0	0	0	233.8	205.29999999999998
CG6283|NP_651524.1|DMEL	699.1	0	0	0	0	0	0	0	543.9	0	0	468.6333333333334
CG17191|NP_651523.1|DMEL	698.0	0	0	0	0	0	0	0	543.5	0	0	427.8
CG6271|NP_651526.1|DMEL	702.6	0	0	0	0	0	0	629.4	0	0	0	456.73333333333335
CG6277|NP_651525.1|DMEL	698.4	0	0	0	0	0	0	627.9	0	0	0	459.90000000000003
PGRP-SC1a|NP_610407.1|DMEL	396.7	396.7	0	0	0	0	0	0	0	0	0	269.2
PGRP-SC1b|NP_610409.1|DMEL	396.7	396.7	0	0	0	0	0	0	0	0	0	269.2
CG11951|NP_001350853.2|DMEL	1717.2	0	0	0	0	706.8	0	0	744.2	0	0	285.8
CG31445|NP_651689.1|DMEL	1915.2	0	0	0	0	712.6	0	0	1417.9	0	0	544.7
SP1029|NP_652618.1|DMEL	1911.3	0	0	0	0	0	0	0	1080.1	0	0	556.2
CG30148|NP_665889.1|DMEL	265.0	0	0	0	0	0	0	0	0	0	167.5	112.5
GNBP3|NP_523986.2|DMEL	1038.5	0	0	0	0	0	0	0	0	0	168.3	128.3
Cyp4ac1|NP_608916.1|DMEL	1022.3	0	0	0	0	813.9	0	0	796.6	0	0	0
Cyp4ac3|NP_608918.1|DMEL	1009.2	0	0	0	0	816.6	0	0	724.2	0	0	0
CG11889|NP_651367.1|DMEL	833.9	0	0	0	0	0	0	0	599.7	0	0	281.23333333333335
CG11891|NP_001027211.3|DMEL	849.7	0	0	0	0	0	0	84.0	81.6	0	0	54.23333333333334
CG11878|NP_651369.1|DMEL	839.3	0	0	0	0	0	0	0	598.2	0	0	286.4333333333334
CG33301|NP_001285793.1|DMEL	817.4	0	0	0	0	546.2	0	0	0	0	0	260.2666666666667
CG16898|NP_611452.2|DMEL	816.6	0	0	0	0	546.6	0	0	0	0	0	248.51666666666665
mthl12|NP_731791.2|DMEL	986.1	0	0	0	0	0	0	254.23333333333335	0	0	0	175.64999999999998
mthl4|NP_788394.1|DMEL	1050.8	836.6	0	0	0	538.1	0	231.9	0	0	0	273.5
mthl3|NP_663308.1|DMEL	1032.3	833.9	0	0	0	583.6	0	250.4	0	0	0	295.45000000000005
mth|NP_728521.1|DMEL	1055.0	0	0	0	0	558.55	0	274.6	0	0	0	309.5
AOX4|NP_650478.1|DMEL	2543.8	0	0	0	0	0	0	0	2065.8	0	0	1458.1999999999998
AOX3|NP_650477.1|DMEL	2545.4	0	0	0	0	0	0	0	2070.4	0	0	1515.5500000000002
Ugt37A1|NP_523607.2|DMEL	1024.2	0	0	0	0	0	700.7	0	0	0	0	510.17500000000007
Ugt37A2|NP_650228.1|DMEL	1011.5	0	0	0	0	0	701.4	0	0	0	0	522.975
CG2064|NP_610310.2|DMEL	664.8	0	0	0	0	0	0	0	476.5	0	429.29999999999995	0
CG2065|NP_610309.1|DMEL	602.1	0	0	0	0	0	0	0	473.4	0	407.35	0
CG10863|NP_647840.1|DMEL	660.6	0	0	0	0	0	0	0	0	513.5	0	402.1
CG12766|NP_647839.1|DMEL	667.2	0	0	0	0	0	0	0	0	516.2	0	387.5
CG18746|NP_652649.1|DMEL	891.3	0	0	0	0	0	0	0	0	0	362.5	321.05
CG18748|NP_001097703.1|DMEL	816.6	0	0	0	0	0	0	0	0	0	355.1	303.9
CG5783|NP_609869.1|DMEL	603.2	0	0	0	0	0	0	0	0	0	192.2	196.4
CG15155|NP_609868.1|DMEL	521.9	0	0	0	0	0	0	0	0	0	186.0	104.0
LManVI|NP_609253.1|DMEL	2036.5	0	0	0	0	0	0	1591.2	0	1358.6	1203.3	0
LManV|NP_609252.1|DMEL	1981.8	0	0	0	0	0	0	1591.6	0	1380.9	1190.6	0
LManIV|NP_609251.2|DMEL	1975.3	0	0	0	0	0	0	0	0	1367.65	1203.0	0
CG6901|NP_650531.1|DMEL	870.2	0	0	0	0	0	0	0	431.0	0	0	152.05
CG17929|NP_650532.2|DMEL	966.5	0	0	0	0	0	0	0	446.0	0	0	143.95
CG32054|NP_729588.1|DMEL	972.6	0	0	0	0	0	0	0	543.1	0	0	229.075
CG42825|NP_729590.1|DMEL	983.0	0	0	0	0	0	0	0	540.0	0	0	209.45
CG31327|NP_731888.1|DMEL	1765.4	0	0	0	0	895.2	0	0	0	0	0	263.7
CG31533|NP_731887.1|DMEL	1726.1	0	0	0	0	893.3	0	0	0	0	0	299.03333333333336
CG9722|NP_650341.1|DMEL	499.2	0	0	0	0	0	0	0	0	0	260.8	238.4
Nmda1|NP_523722.1|DMEL	474.9	0	0	0	0	0	0	0	0	0	261.2	327.4
CG13658|NP_651374.2|DMEL	871.3	0	0	0	0	0	0	565.7333333333332	419.5	0	0	0
CG11893|NP_651375.1|DMEL	864.4	0	0	0	0	0	0	602.6666666666666	421.4	0	0	0
CG31300|NP_651373.2|DMEL	862.8	0	0	0	0	0	0	605.4000000000001	420.6	0	0	0
CG31104|NP_733090.1|DMEL	869.4	0	0	0	0	0	0	597.5666666666666	417.55	0	0	0
CG5653|NP_648269.1|DMEL	1001.5	0	0	0	0	0	0	0	0	467.2	521.9	397.5
CG6034|NP_649005.1|DMEL	993.0	0	0	0	0	0	0	0	0	463.4	553.9	383.3
CG7460|NP_649004.1|DMEL	1012.3	0	0	0	0	0	0	0	0	0	538.5	502.7
CG9555|NP_609265.1|DMEL	582.8	0	0	0	0	0	0	0	413.7	0	0	200.3
CG17906|NP_609266.1|DMEL	578.9	0	0	0	0	0	0	0	413.7	0	0	183.7
MstProx|NP_649719.2|DMEL	1919.8	0	0	0	0	0	0	684.1	0	0	0	199.89999999999998
Toll-4|NP_523519.2|DMEL	2207.6	0	0	0	0	0	0	681.8	0	0	0	295.45
CG31086|NP_733139.1|DMEL	315.8	0	0	0	0	0	0	0	0	0	264.6	169.5
CG32633|NP_572898.1|DMEL	606.7	0	0	0	0	0	0	0	0	0	264.2	325.5
AANATL5|NP_611403.1|DMEL	443.7	432.2	0	0	0	0	0	0	161.8	0	0	113.6
AANATL6|NP_611405.2|DMEL	445.3	432.6	0	0	0	0	0	0	159.8	0	0	112.5
