GeneID	GeneLength
Cyp6a17|NP_652018.1|DMEL	501
Cyp6a23|NP_611000.2|DMEL	502
Cyp6a9|NP_523748.2|DMEL	504
Cyp6a21|NP_611003.2|DMEL	504
Jon25Biii|NP_608881.1|DMEL	258
Jon66Cii|NP_648217.1|DMEL	262
Jon66Ci|NP_729372.1|DMEL	260
CG18180|NP_648341.1|DMEL	264
CG3088|NP_648334.1|DMEL	252
yip7|NP_523944.1|DMEL	270
CG10477|NP_648010.1|DMEL	272
lectin-24A|NP_652637.1|DMEL	282
lectin-22C|NP_001137766.1|DMEL	263
CG15818|NP_609116.1|DMEL	283
lectin-24Db|NP_652641.1|DMEL	359
Acp29AB|NP_523512.2|DMEL	234
lectin-30A|NP_652635.2|DMEL	223
lectin-29Ca|NP_652640.1|DMEL	236
CG2839|NP_608540.1|DMEL	826
lectin-21Cb|NP_608539.2|DMEL	249
Ugt35D1|NP_651866.1|DMEL	521
Ugt35E1|NP_652622.3|DMEL	527
Ugt35E2|NP_652623.2|DMEL	527
CG17097|NP_609429.1|DMEL	1087
CG18284|NP_609428.1|DMEL	457
CG31872|NP_723603.1|DMEL	1073
Ccp84Ab|NP_649682.1|DMEL	221
Ccp84Aa|NP_649683.1|DMEL	205
CG6788|NP_573254.1|DMEL	358
CG31832|NP_723894.2|DMEL	227
CG30281|NP_726164.1|DMEL	291
CG30280|NP_611641.6|DMEL	288
CG31793|NP_609930.4|DMEL	1307
CG9270|NP_995741.2|DMEL	1292
CG31792|NP_724148.2|DMEL	1323
CG7627|NP_001245943.1|DMEL	1355
Hsp70Ba|NP_731716.1|DMEL	641
Hsp70Ab|NP_524798.2|DMEL	642
Hsp70Bc|NP_650209.1|DMEL	641
Hsp70Bb|NP_524927.2|DMEL	641
Hsp70Aa|NP_731651.1|DMEL	642
Hsp70Bbb|NP_788663.1|DMEL	641
CG31097|NP_733093.2|DMEL	420
CG31288|NP_733094.1|DMEL	428
CG6834|NP_650104.2|DMEL	895
CG6830|NP_650103.1|DMEL	891
CHKov1|NP_001097918.1|DMEL	410
CG10562|NP_651385.3|DMEL	405
CG10560|NP_651384.2|DMEL	414
CG10553|NP_651383.1|DMEL	414
CG30047|NP_725141.1|DMEL	879
CG30043|NP_725143.1|DMEL	878
CG30049|NP_725142.3|DMEL	878
CG33012|NP_788335.2|DMEL	912
CG13160|NP_001260918.1|DMEL	875
CG10081|NP_611418.1|DMEL	875
CG10073|NP_001261090.1|DMEL	881
CG11659|NP_650829.1|DMEL	546
CG6300|NP_650828.1|DMEL	537
CG11407|NP_650831.1|DMEL	538
CG10182|NP_651158.1|DMEL	699
CG33337|NP_996269.2|DMEL	708
CG16723|NP_651159.3|DMEL	695
CG14204|NP_608321.1|DMEL	743
CG5892|NP_650959.2|DMEL	738
CG14219|NP_608322.1|DMEL	724
CG14205|NP_608323.1|DMEL	713
CG12133|NP_610540.2|DMEL	340
CG31219|NP_001097837.1|DMEL	345
CG18754|NP_652652.3|DMEL	341
Alp8|NP_611655.1|DMEL	533
Alp2|NP_611654.1|DMEL	538
